CID,Vegetation,Surface_Temperature___C_
1,0.2541954,40.7113571
1,0.3935919,34.5657578
1,0.4213719,39.9935684
1,0.4436708,35.9979019
1,0.4180902,38.8998032
1,0.1340344,49.8887405
1,0.4013555,33.5847855
1,0.0812859,41.6854935
1,0.4058553,33.5916214
1,0.4204716,32.6414108
1,0.3242119,34.0940628
1,0.2235874,40.4755173
1,0.4032815,34.9143906
1,0.3817979,34.7879257
1,0.3627273,26.5334091
1,0.1947914,45.6503983
1,0.2265421,45.0296898
1,0.4703770,34.4051132
1,0.2257196,45.9580154
1,0.3782178,43.5135345
1,0.4235151,40.9335251
1,0.1200784,43.4355240
1,0.5547433,23.7067032
1,0.4260244,38.1409988
1,0.3446105,36.9344406
1,0.4571932,33.2669144
1,0.3294679,36.8216476
1,0.3608591,34.2889023
1,0.4149820,32.5969772
1,0.3301702,36.9993820
1,0.0992711,45.4111404
1,0.4400574,33.6189651
1,0.4206946,34.9212265
1,0.4570435,32.9114304
1,0.4183874,32.3440475
1,0.2599596,41.9179153
1,0.4212216,33.8069534
1,0.0698679,44.0336685
1,0.2562242,38.6707993
1,0.4358012,34.1214066
1,0.4294632,32.6755905
1,0.4265173,35.5193863
1,0.4043528,36.4695969
1,0.4175193,35.7073746
1,0.4303961,34.7913437
1,0.3399540,36.1893082
1,0.2455785,36.3778114
1,0.3875718,32.4910202
1,0.3845516,34.8426132
1,0.2237319,41.3334427
1,0.3622342,35.9227066
1,0.2565463,44.4540939
1,0.2467443,36.6028976
1,0.3945715,38.9920883
1,0.3768598,37.1805344
1,0.2704980,37.1835518
1,0.2324207,44.9449730
1,0.3835616,32.6721725
1,0.4558433,36.2918625
1,0.3750145,35.0476913
1,0.2809500,43.3399391
1,0.4061471,34.6717148
1,0.4373070,33.9402542
1,0.2715538,40.5165329
1,0.3862303,34.4016953
1,0.0985337,34.1351357
1,0.3547414,35.7620621
1,0.3989391,35.6116714
1,0.2376133,26.9845810
1,0.3758043,38.6126938
1,0.3358928,37.8880692
1,0.3722248,34.0291214
1,0.4716070,32.3406296
1,0.2635451,40.4242477
1,0.3456295,35.7415543
1,0.4413082,32.7439499
1,0.2527309,45.2060471
1,0.4706580,38.5067368
1,0.1606400,46.3169022
1,0.4686530,34.6443710
1,0.4264586,36.5516281
1,0.4508264,32.7371140
1,0.3282850,43.4473495
1,0.0867286,20.6938610
1,0.3965556,38.2059402
1,0.4685016,27.4699478
1,0.3153617,45.8110428
1,0.3122314,25.9938049
1,0.4072767,34.2273788
1,0.4448154,35.9432144
1,0.3690863,38.1273270
1,0.4435751,31.6741104
1,0.0971311,45.2436447
1,0.3011177,39.2586899
1,0.4426954,32.7029343
1,-0.0037663,52.6641769
1,0.2281906,42.8168564
1,0.3644399,32.9148483
1,0.4569645,34.6443710
1,0.3993900,41.7333450
1,0.4583025,30.9939194
1,0.4258709,36.0252457
1,0.2542147,35.8440933
1,0.3392101,23.8468399
1,0.3113496,41.3471146
1,0.4786308,34.9143906
1,0.4286226,32.7747116
1,0.4958152,34.3162460
1,0.2128263,43.3910904
1,0.3656667,34.8562851
1,0.4582537,34.1487503
1,0.3331819,37.4095535
1,0.4164716,33.0994186
1,0.4668247,33.9641800
1,0.4092223,33.3010941
1,0.0261513,37.4403152
1,0.4303492,36.0628433
1,0.4034432,37.1019211
1,0.3740717,37.2044601
1,0.3937127,32.6790085
1,0.4020942,32.5251999
1,0.4470333,34.8015976
1,0.3800815,34.1453323
1,0.3744771,34.9793320
1,0.3878078,33.3557816
1,0.4382629,33.1130905
1,0.3927170,35.7313004
1,0.4870920,32.7747116
1,0.2633146,46.2143631
1,0.1434158,45.0172195
1,0.3657029,33.1370163
1,0.3977094,32.3679733
1,0.2177145,47.9790497
1,0.4275963,36.5174484
1,0.2268080,45.4743652
1,0.4128712,40.2774277
1,0.4060798,39.7338028
1,0.3847155,34.8289413
1,0.4571155,33.2156448
1,0.2287665,44.2763443
1,0.0442986,47.7182999
1,0.2697919,42.0106010
1,0.1572758,47.2881355
1,0.3708599,35.5945816
1,0.4662245,33.2122269
1,0.3368754,29.3737869
1,0.3693687,35.0989609
1,0.4724929,32.3406296
1,0.4230425,33.2634964
1,0.4007007,39.4603653
1,0.2549302,36.8660812
1,0.4299605,35.4646988
1,0.4212778,32.2996140
1,0.4797560,32.4841843
1,0.3528829,37.0916672
1,0.3784536,35.8987808
1,0.1613874,38.9538727
1,0.3888011,40.6464157
1,0.3976292,34.1590042
1,0.4249974,32.6311569
1,0.4416233,32.0774307
1,0.4601004,33.3455276
1,0.3742137,36.8524094
1,0.4210960,33.5471878
1,0.4914365,37.2044601
1,0.3525214,36.8934250
1,0.3750097,34.0838089
1,0.0883061,46.8569565
1,0.4229621,34.4051132
1,0.4473861,36.1414566
1,0.3733042,37.4437332
1,0.3638034,34.6648788
1,0.4741769,34.4700546
1,0.1156125,44.9493980
1,0.3993402,36.2918625
1,0.1900438,32.1936569
1,0.0351270,21.2965908
1,0.2814773,46.5679321
1,0.4008470,32.5217819
1,0.4085594,32.6414108
1,0.3961994,35.3177261
1,0.4545846,31.8757706
1,0.4108538,39.4090958
1,0.3967367,33.9470901
1,0.4136647,36.5174484
1,0.0733591,45.1055679
1,0.4438024,34.3162460
1,0.4457708,32.3167038
1,0.4629178,32.6414108
1,0.4390310,34.9143906
1,0.4112190,35.5638199
1,0.1132257,43.8251724
1,0.4241806,42.1605911
1,0.0842987,50.2647171
1,0.4140303,32.3713913
1,0.4598863,37.3582840
1,0.3796495,40.6054001
1,0.3909662,34.3914413
1,0.3086453,38.1307449
1,0.4537759,33.1883011
1,0.4215259,33.5471878
1,0.4090267,36.0628433
1,0.4806719,36.1106949
